english,korean,occurrence_count,examples
"""How could you do this?""...",,75,Table_Allies:gorse:taunt | Table_Allies:Gisa:taunt | Table_Allies:creeper:taunt | Table_Allies:vinespawn:taunt | Table_Allies:tentacle:taunt
"(d), hear me!

your servant remains [color=#ffff50]unbroken[/color]

no wretched division, every moment

a clear step on the [color=#c0c0ff]shining path[/color]

against violet [color=#701080]night glow[/color]...swirling monstrosity

Glory to (d)! And to all who walk

the [color=#c0c0ff]path[/color], the glimmering night",,1,Table_Verses:verse017:text
...,,92,Table_Enemies:firedrake:sighting | Table_Enemies:deathdrake:sighting | Table_Enemies:slagh_astromancer:sighting | Table_Enemies:burrowking:sighting | Table_Enemies:gil_elga:sighting
2 bonus Hit dice and Speed,,1,Table_Buffs:JinBu:description
A 'storm-child' hatched from a Thunder Egg,,1,Table_Enemies:lapsi:description
"A [color=#30a0a0]monstrous night[/color] approaches, O path

O doomed lands of [color=#ffff50]Achra[/color], O (d)!

treasures burst from their [color=#ff2080]secret places[/color]

what shape encircles the [color=#a020c0]encroaching dark[/color]?

in the roar of [color=#2020ff]flood[/color]

above the [color=#ff30ff]glimmering wave[/color]

what rules the squatting, [color=#a020c0]faceless dark[/color]?",,1,Table_Verses:verse010:text
A battle-chief of the eastern desert. Leads devout followers on the path of Achra,,1,Table_Classes:Amir:brief
A billowing spirit composed of astral flame,,1,Table_Allies:janin:description
A black robe adorned with a yellow sigil. Once belonged to an arch-priest of the lost sun cult,,1,Table_Armor:RobeLight:rumor
A blade wrapped with glimmering violet ribbons. Said to have fallen from the astral wall,,1,Table_Weapons:bladeastral:rumor
A bladed shield from the arena of lost Shuppurak,,1,Table_Weapons:diskos:rumor
A bladeless hilt of shimmering blue. Was once a relic upon which the storm temples of Achra were founded,,1,Table_Weapons:Thunderblade:rumor
A bladeless hilt wielded by a glinting-monk of the yellow church,,1,Table_Weapons:mindsaber:rumor
A blind lumbering beast born from a pool of acid,,1,Table_Enemies:aciddrake:description
A blood-streaked chestplate of wild crimson.,,1,Table_Armor:redchest:rumor
A blue robe worn by a Ruk-lord exiled from the island of giants,,1,Table_Armor:robe_wind:rumor
A blue sash woven in tribute to the catastrophe-god Rabal who dances above the mountains,,1,Table_Armor:rabalwrap:rumor
A blurred creature summoned from the astral dark. Its mandibles bypass armor,,1,Table_Enemies:astropede:description
A blurred reptile conjured from starlight,,1,Table_Allies:Blinksnake:description
A blurred sword. Once belonged to an assassin-queen of the salt waste,,1,Table_Weapons:swiftblade:rumor
A blurred warrior conjured from starlight,,1,Table_Allies:Astrophyte:description
A bond-guard of the orchid cult. Wields a penetrating gold-hued axe,,1,Table_Enemies:Zahrat:description
A brass dagger sacred to the Heliot dance of ablation,,1,Table_Weapons:AcidKnife:rumor
A brass-hilted straight sword. Once wielded by the war-queen of the burning lands,,1,Table_Weapons:bladeruby:rumor
A brawny tunnel-raider. Wallows in the shallow caverns of the tunnel-lands. Covets the mythical 'living gold',,1,Table_Enemies:hobgoblin:description
A bright mask worn by a cursed war-prince,,1,Table_Armor:Mask_Frenzy:rumor
A bronze greataxe once wielded by an invincible warrior-king of the deep forest,,1,Table_Weapons:goldenaxe:rumor
A bronze sword sacred to bare-chested raiders of the deep forest,,1,Table_Weapons:Claideb:rumor
A brutal warrior that once rampaged across Achra. Born from a volcano in the crevasse-lands,,1,Table_Enemies:surtmir:description
