key,table,entry_id,field,index,english,korean
Table_Allies|gorse|tags|1,Table_Allies,gorse,tags,1,[color=#00a000]Plant[/color],[color=#00a000]식물[/color]
Table_Allies|gorse|name|,Table_Allies,gorse,name,,Briarfolk,가시덤불 민병
Table_Allies|gorse|name_color|,Table_Allies,gorse,name_color,,[color=#20af20]Briarfolk[/color],[color=#20af20]가시덤불 민병[/color]
Table_Allies|gorse|description|,Table_Allies,gorse,description,,A vine-formed fighter summoned from the deep forest,깊은 숲에서 소환된 덩굴 형태의 전사
Table_Allies|gorse|taunt|,Table_Allies,gorse,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|Gisa|tags|1,Table_Allies,Gisa,tags,1,[color=#00a000]Plant[/color],[color=#00a000]식물[/color]
Table_Allies|Gisa|name|,Table_Allies,Gisa,name,,Gisa,기사
Table_Allies|Gisa|name_color|,Table_Allies,Gisa,name_color,,[color=#20af20]Gisa[/color],[color=#20af20]기사[/color]
Table_Allies|Gisa|description|,Table_Allies,Gisa,description,,An arcane soldier conjured from shrubs,관목에서 소환된 신비로운 병사
Table_Allies|Gisa|taunt|,Table_Allies,Gisa,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|creeper|tags|1,Table_Allies,creeper,tags,1,[color=#00a000]Plant[/color],[color=#00a000]식물[/color]
Table_Allies|creeper|name|,Table_Allies,creeper,name,,Creeper,덩굴손
Table_Allies|creeper|name_color|,Table_Allies,creeper,name_color,,[color=#20af20]Creeper[/color],[color=#20af20]덩굴손[/color]
Table_Allies|creeper|description|,Table_Allies,creeper,description,,An enchanted vine of incredible vigor,믿기 힘든 활력의 마법에 걸린 덩굴
Table_Allies|creeper|taunt|,Table_Allies,creeper,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|vinespawn|tags|1,Table_Allies,vinespawn,tags,1,[color=#00a000]Plant[/color],[color=#00a000]식물[/color]
Table_Allies|vinespawn|name|,Table_Allies,vinespawn,name,,Vinespawn,덩굴 새끼
Table_Allies|vinespawn|name_color|,Table_Allies,vinespawn,name_color,,[color=#209f50]Vinespawn[/color],[color=#209f50]덩굴 새끼[/color]
Table_Allies|vinespawn|description|,Table_Allies,vinespawn,description,,The sprouted mote of an Arba's will,아르바의 의지에서 싹튼 씨앗
Table_Allies|vinespawn|taunt|,Table_Allies,vinespawn,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|tentacle|name|,Table_Allies,tentacle,name,,Tentacle,촉수
Table_Allies|tentacle|name_color|,Table_Allies,tentacle,name_color,,[color=#8040a0]Tentacle[/color],[color=#8040a0]촉수[/color]
Table_Allies|tentacle|description|,Table_Allies,tentacle,description,,A summoned appendage of Oros,오로스의 소환된 부속지
Table_Allies|tentacle|taunt|,Table_Allies,tentacle,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|Root|tags|1,Table_Allies,Root,tags,1,[color=#00a000]Plant[/color],[color=#00a000]식물[/color]
Table_Allies|Root|name|,Table_Allies,Root,name,,Root,뿌리
Table_Allies|Root|name_color|,Table_Allies,Root,name_color,,[color=#20af50]Root[/color],[color=#20af50]뿌리[/color]
Table_Allies|Root|description|,Table_Allies,Root,description,,An animate root sprung from transmuted lifeforce,변환된 생명력에서 솟아난 움직이는 뿌리
Table_Allies|Root|taunt|,Table_Allies,Root,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|PearlMirror|name|,Table_Allies,PearlMirror,name,,Pearl Mirror,진주 거울
Table_Allies|PearlMirror|name_color|,Table_Allies,PearlMirror,name_color,,[color=#9050ff]Pearl Mirror[/color],[color=#9050ff]진주 거울[/color]
Table_Allies|PearlMirror|description|,Table_Allies,PearlMirror,description,,A magic mirror summoned from pearls and ice,진주와 얼음으로 소환된 마법 거울
Table_Allies|PearlMirror|taunt|,Table_Allies,PearlMirror,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|Mushroom|tags|1,Table_Allies,Mushroom,tags,1,[color=#30f000]Fungus[/color],[color=#30f000]균류[/color]
Table_Allies|Mushroom|name|,Table_Allies,Mushroom,name,,Mushroom,버섯
Table_Allies|Mushroom|name_color|,Table_Allies,Mushroom,name_color,,[color=#30f000]Mushroom[/color],[color=#30f000]버섯[/color]
Table_Allies|Mushroom|description|,Table_Allies,Mushroom,description,,A growth produced from a vast fungal source,거대한 균류 원천에서 생산된 성장물
Table_Allies|Mushroom|taunt|,Table_Allies,Mushroom,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|livingice|name|,Table_Allies,livingice,name,,Living Ice,살아있는 얼음
Table_Allies|livingice|name_color|,Table_Allies,livingice,name_color,,[color=#5080ff]Living Ice[/color],[color=#5080ff]살아있는 얼음[/color]
Table_Allies|livingice|description|,Table_Allies,livingice,description,,A conscious spire of frost summoned by an Ice Shah,빙설 샤가 소환한 의식 있는 서리 첨탑
Table_Allies|livingice|taunt|,Table_Allies,livingice,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|icedisc|name|,Table_Allies,icedisc,name,,Ice Disc,얼음 원반
Table_Allies|icedisc|name_color|,Table_Allies,icedisc,name_color,,[color=#5080ff]Ice Disc[/color],[color=#5080ff]얼음 원반[/color]
Table_Allies|icedisc|description|,Table_Allies,icedisc,description,,A minor elemental composed of swift spinning ice,빠르게 회전하는 냉기으로 이루어진 소 원소
Table_Allies|icedisc|taunt|,Table_Allies,icedisc,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|serpent|tags|1,Table_Allies,serpent,tags,1,[color=#10df90]Reptile[/color],[color=#10df90]파충류[/color]
Table_Allies|serpent|name|,Table_Allies,serpent,name,,Serpent,뱀
Table_Allies|serpent|name_color|,Table_Allies,serpent,name_color,,[color=#10df90]Serpent[/color],[color=#10df90]뱀[/color]
Table_Allies|serpent|description|,Table_Allies,serpent,description,,A poisonous reptile charmed by a wild summoner,야생 소환사가 매혹한 독 있는 파충류
Table_Allies|serpent|taunt|,Table_Allies,serpent,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|boar|tags|1,Table_Allies,boar,tags,1,[color=#10df90]Reptile[/color],[color=#10df90]파충류[/color]
Table_Allies|boar|name|,Table_Allies,boar,name,,Cobra,코브라
Table_Allies|boar|name_color|,Table_Allies,boar,name_color,,[color=#10df90]Cobra[/color],[color=#10df90]코브라[/color]
Table_Allies|boar|description|,Table_Allies,boar,description,,A haughty reptile that feeds off the death of allies,아군의 죽음을 먹고 사는 오만한 파충류
Table_Allies|boar|taunt|,Table_Allies,boar,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|AntPoison|name|,Table_Allies,AntPoison,name,,Ant,개미
Table_Allies|AntPoison|name_color|,Table_Allies,AntPoison,name_color,,[color=#505050]Black Ant[/color],[color=#505050]검은 개미[/color]
Table_Allies|AntPoison|description|,Table_Allies,AntPoison,description,,A crawling child of Formus,포르무스의 기어다니는 자녀
Table_Allies|AntPoison|taunt|,Table_Allies,AntPoison,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|AntFire|name|,Table_Allies,AntFire,name,,Ant,개미
Table_Allies|AntFire|name_color|,Table_Allies,AntFire,name_color,,[color=#ff7000]Red Ant[/color],[color=#ff7000]붉은 개미[/color]
Table_Allies|AntFire|description|,Table_Allies,AntFire,description,,A crawling child of Formus,포르무스의 기어다니는 자녀
Table_Allies|AntFire|taunt|,Table_Allies,AntFire,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|AntBlood|name|,Table_Allies,AntBlood,name,,Ant,개미
Table_Allies|AntBlood|name_color|,Table_Allies,AntBlood,name_color,,[color=#ffa0a0]White Ant[/color],[color=#ffa0a0]흰 개미[/color]
Table_Allies|AntBlood|description|,Table_Allies,AntBlood,description,,A crawling child of Formus,포르무스의 기어다니는 자녀
Table_Allies|AntBlood|taunt|,Table_Allies,AntBlood,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|AntAstral|name|,Table_Allies,AntAstral,name,,Ant,개미
Table_Allies|AntAstral|name_color|,Table_Allies,AntAstral,name_color,,[color=#a030ff]Violet Ant[/color],[color=#a030ff]보라 개미[/color]
Table_Allies|AntAstral|description|,Table_Allies,AntAstral,description,,A crawling child of Formus,포르무스의 기어다니는 자녀
Table_Allies|AntAstral|taunt|,Table_Allies,AntAstral,taunt,,"""How could you do this?""...","""어떻게 이럴 수가?""..."
Table_Allies|fleshfly|tags|1,Table_Allies,fleshfly,tags,1,[color=#10df90]Reptile[/color],[color=#10df90]파충류[/color]
Table_Allies|fleshfly|name|,Table_Allies,fleshfly,name,,Hatchling,부화 뱀
Table_Allies|fleshfly|name_color|,Table_Allies,fleshfly,name_color,,[color=#10df90]Hatchling[/color],[color=#10df90]부화 뱀[/color]
